open_time,open,high,low,close,volume,funding_rate
1577836800000,100.14583645918084,100.38217547814976,99.90949744021192,100.14583645918084,28133.14817328592,-1.544875e-05
1577840400000,100.14583645918084,100.59556459473102,99.47169742878748,100.03363101175924,11290.61131803662,-1.544875e-05
1577844000000,100.03363101175924,100.96733039978098,100.42559380660911,100.69646210319505,12620.585898804104,-1.544875e-05
1577847600000,100.69646210319505,101.16438563564724,100.48023572131184,100.82231067847954,17562.55128677455,-1.544875e-05
1577851200000,100.82231067847954,100.60000398646795,100.00747422856008,100.30373910751402,51016.890737972775,-1.544875e-05
1577854800000,100.30373910751402,101.020866339288,100.35358252273262,100.68722443101032,13160.766555719125,-1.544875e-05
1577858400000,100.68722443101032,102.3347610702466,101.72361397045668,102.02918752035164,74109.21872079402,-1.544875e-05
1577862000000,102.02918752035164,103.4509927293867,102.59036507965854,103.02067890452264,22431.97850913144,-1.544875e-05
1577865600000,103.02067890452264,102.72728326800768,101.91010237313402,102.31869282057085,13914.447231708054,-1.547875e-05
1577869200000,102.31869282057085,101.45978799952002,100.64480441622592,101.05229620787296,12467.125895170304,-1.547875e-05
1577872800000,101.05229620787296,100.88254370950224,100.0064736262348,100.44450866786852,34354.77913693386,-1.547875e-05
1577876400000,100.44450866786852,100.74018442961336,100.27206784706084,100.5061261383371,10479.9169370223,-1.547875e-05
1577880000000,100.5061261383371,98.7257995263142,97.70605111014872,98.21592531823148,19134.207005859607,-1.547875e-05
1577883600000,98.21592531823148,98.26680632461756,97.77494204133652,98.02087418297704,30233.503784403885,-1.547875e-05
1577887200000,98.02087418297704,97.3537478196098,96.2993744211524,96.8265611203811,11163.406732691948,-1.547875e-05
1577890800000,96.8265611203811,96.36791915662444,95.9107757224292,96.13934743952684,23165.56092674701,-1.547875e-05
1577894400000,96.13934743952684,96.37469389589596,94.8986004073138,95.63664715160488,12185.055194559289,-1.208e-05
1577898000000,95.63664715160488,95.88232541951216,94.82506461522487,95.35369501736852,34791.13634860068,-1.208e-05
1577901600000,95.35369501736852,95.97823772343712,95.55408268677633,95.76616020510671,14319.253395019095,-1.208e-05
1577905200000,95.76616020510671,97.02222755041362,96.55599913740704,96.78911334391032,28948.88978430361,-1.208e-05
1577908800000,96.78911334391032,96.886274177802,96.48196700829142,96.68412059304671,43685.49891846913,-1.208e-05
1577912400000,96.68412059304671,98.3486994171866,97.71919339279276,98.03394640498968,29830.51401336792,-1.208e-05
1577916000000,98.03394640498968,97.87039606116976,96.93654930503692,97.40347268310332,20979.233017756284,-1.208e-05
1577919600000,97.40347268310332,98.27593680840204,97.25608200356044,97.76600940598124,21610.306270819445,-1.208e-05
1577923200000,97.76600940598124,98.96980688955396,98.37625499340189,98.67303094147792,14277.678522473923,-1.208e-05
1577926800000,98.67303094147792,99.1196887834025,98.45150019114516,98.78559448727384,21111.658911737304,4.5775e-06
1577930400000,98.78559448727384,98.28424973070707,97.86267167005512,98.0734607003811,36319.876274253205,4.5775e-06
1577934000000,98.0734607003811,97.54897134702124,96.83719401144464,97.19308267923294,31362.15715951969,4.5775e-06
1577937600000,97.19308267923294,97.22579671881812,96.31134973548085,96.76857322714947,13078.071041975358,4.5775e-06
