open_time,open,high,low,close,volume
1577836800000,100.14583645918083,100.38217547814975,99.90949744021192,100.14583645918083,28133.14817328592
1577840400000,100.14583645918083,100.59556459473102,99.47169742878748,100.03363101175924,11290.611318036621
1577844000000,100.03363101175924,100.96733039978098,100.42559380660911,100.69646210319505,12620.585898804104
1577847600000,100.69646210319505,101.16438563564725,100.48023572131183,100.82231067847954,17562.55128677455
1577851200000,100.82231067847954,100.60000398646795,100.00747422856008,100.30373910751402,51016.890737972775
1577854800000,100.30373910751402,101.020866339288,100.35358252273262,100.68722443101032,13160.766555719125
1577858400000,100.68722443101032,102.3347610702466,101.72361397045667,102.02918752035164,74109.21872079402
1577862000000,102.02918752035164,103.4509927293867,102.59036507965854,103.02067890452263,22431.97850913144
1577865600000,103.02067890452263,102.72728326800767,101.91010237313402,102.31869282057085,13914.447231708054
1577869200000,102.31869282057085,101.45978799952002,100.64480441622592,101.05229620787297,12467.125895170304
1577872800000,101.05229620787297,100.88254370950223,100.00647362623481,100.44450866786852,34354.77913693386
1577876400000,100.44450866786852,100.74018442961335,100.27206784706084,100.5061261383371,10479.9169370223
1577880000000,100.5061261383371,98.7257995263142,97.70605111014872,98.21592531823147,19134.207005859607
1577883600000,98.21592531823147,98.26680632461756,97.77494204133653,98.02087418297705,30233.503784403885
1577887200000,98.02087418297705,97.3537478196098,96.2993744211524,96.8265611203811,11163.406732691947
1577890800000,96.8265611203811,96.36791915662445,95.9107757224292,96.13934743952683,23165.56092674701
1577894400000,96.13934743952683,96.37469389589597,94.89860040731381,95.63664715160489,12185.055194559289
1577898000000,95.63664715160489,95.88232541951216,94.82506461522489,95.35369501736852,34791.13634860068
1577901600000,95.35369501736852,95.97823772343713,95.55408268677631,95.76616020510673,14319.253395019097
1577905200000,95.76616020510673,97.02222755041362,96.55599913740704,96.78911334391033,28948.889784303614
1577908800000,96.78911334391033,96.88627417780201,96.48196700829142,96.68412059304671,43685.49891846913
1577912400000,96.68412059304671,98.34869941718661,97.71919339279277,98.03394640498969,29830.51401336792
1577916000000,98.03394640498969,97.87039606116976,96.93654930503692,97.40347268310333,20979.233017756284
1577919600000,97.40347268310333,98.27593680840205,97.25608200356045,97.76600940598125,21610.306270819445
1577923200000,97.76600940598125,98.96980688955396,98.37625499340187,98.67303094147792,14277.678522473925
